intervention,label,intervention_type,direction_definition,challenge,modulation_fraction,native_parameter_value,simulation_status,hypo_burden_mgdl_min,hyper_burden_mgdl_min,abs_dev_from_target_mgdl_min,glucose_auc_mgdl_min,glucose_sd_mgdl,glucose_rmsd_mgdl,glucose_peak_mgdl,glucose_nadir_mgdl,recovery_time_min,undershoot_mgdl,insulin_auc_muL_min,glucagon_auc_pM_min,mean_glucose_mgdl,mean_insulin_muL,mean_glucagon_pM,composite_loss
insulin_signal_global,Insulin signalling (global),potentiation,"u:0=none,1=max",fasting,0.0,1.0,ok,0.0,0.0,537.6184041132356,53390.48674663699,0.0007720108398212252,5.605591832161598e-05,89.10452489166457,89.10137469122384,0.0,0.0,7857.036650774886,6876.233667428967,89.10277477328502,13.112518910001095,11.475667990533832,0.02071545546307752
insulin_signal_global,Insulin signalling (global),potentiation,"u:0=none,1=max",fasting,0.05,1.1,ok,0.0,0.0,537.1534767019944,53449.34450913628,0.0008677167691627866,5.456145024287857e-05,89.10639795639288,89.1030708532561,0.0,0.0,7865.721753521725,6883.579452340972,89.10452030217148,13.112814948705424,11.475501724027376,0.020755671468532976
insulin_signal_global,Insulin signalling (global),potentiation,"u:0=none,1=max",fasting,0.1,1.2,ok,0.0,0.0,535.703672349661,53410.443849416275,0.0008549179902650539,5.867026507143132e-05,89.10822410920254,89.10491005852458,0.0,0.0,7859.994404964307,6878.34508076022,89.10626925691002,13.113067919472275,11.475352471066595,0.020753962754954086
insulin_signal_global,Insulin signalling (global),potentiation,"u:0=none,1=max",fasting,0.15,1.3,ok,0.0,0.0,534.5113721853181,53393.55518168093,0.0007656330028247381,5.1816720950717264e-05,89.1100119394052,89.1066726952548,0.0,0.0,7857.493515611892,6875.964161970058,89.10795942501244,13.113290751833398,11.475226428879623,0.020697638273712876
insulin_signal_global,Insulin signalling (global),potentiation,"u:0=none,1=max",fasting,0.2,1.4,ok,0.0,0.0,533.7495097192725,53420.51188225673,0.000950624579223448,6.254234156727845e-05,89.11176793531666,89.1083138030822,0.0,0.0,7861.425258709567,6879.235481642783,89.10966335864104,13.113482698682324,11.47511201849066,0.020796833016255966
insulin_signal_global,Insulin signalling (global),potentiation,"u:0=none,1=max",fasting,0.25,1.5,ok,0.0,0.0,533.096222384311,53453.70781671537,0.0008833538455778979,5.905320871867186e-05,89.11349746783586,89.10990948803052,0.0,0.0,7866.271643979755,6883.3273647823935,89.11128912206325,13.11365731976722,11.475016420341275,0.0207784794940836
insulin_signal_global,Insulin signalling (global),potentiation,"u:0=none,1=max",fasting,0.3,1.6,ok,0.0,0.0,531.9468950734462,53439.88575935141,0.0009546309316184278,5.9405799691497935e-05,89.115204862149,89.11158966185937,0.0,0.0,7864.180522922356,6881.364065184275,89.11295914550189,13.113807930051554,11.47492563078289,0.020792218020971493
insulin_signal_global,Insulin signalling (global),potentiation,"u:0=none,1=max",fasting,0.35,1.7,ok,0.0,0.0,530.8130044668716,53422.74331086623,0.001037961739421637,6.412695576928475e-05,89.11689328103402,89.11326073199271,0.0,0.0,7861.601388813404,6878.9888780905185,89.1145501118998,13.113947871349655,11.474850617997197,0.02082519362095303
insulin_signal_global,Insulin signalling (global),potentiation,"u:0=none,1=max",fasting,0.4,1.8,ok,0.0,0.0,530.299811033535,53468.62431111754,0.0009700999474556069,6.576854076136136e-05,89.11856442559834,89.11475775788541,0.0,0.0,7868.289087464173,6884.730778902544,89.11614937206797,13.11407642622429,11.474779917828961,0.020831997844106057
insulin_signal_global,Insulin signalling (global),potentiation,"u:0=none,1=max",fasting,0.45,1.9,ok,0.0,0.0,528.839902540653,53420.04867270803,0.001096438375421182,7.631241866845682e-05,89.12022070268434,89.11647974698522,0.0,0.0,7861.063567158226,6878.312620518883,89.11776512017906,13.11418529146185,11.474715275797431,0.020887028149858166
